	1 	2 	4 	8 	16 	32 	
bt 	40.890000	41.510000	46.360000	52.730000	69.330000	73.740000	
cg 	39.420000	41.220000	54.940000	71.050000	85.270000	88.870000	
dc 	39.630000	42.500000	44.680000	52.610000	67.020000	74.090000	
ep 	39.200000	39.520000	41.380000	51.080000	60.040000	62.870000	
ft 	40.210000	42.190000	48.470000	58.510000	67.570000	98.310000	
is 	38.260000	39.860000	42.860000	49.960000	58.770000	55.150000	
lu 	39.620000	41.480000	47.280000	56.510000	71.180000	76.930000	
mg 	39.780000	42.750000	52.290000	66.320000	82.650000	92.230000	
sp 	40.920000	42.700000	50.890000	61.330000	82.450000	91.870000	
ua 	40.010000	40.990000	47.200000	55.710000	71.660000	77.880000	
stress 	39.060000	40.580000	44.390000	51.640000	62.830000	65.750000	
