	1 	2 	4 	8 	16 	32 	
bt 	39.560000	39.950000	44.000000	50.810000	62.360000	65.920000	
cg 	39.380000	40.660000	48.990000	62.030000	77.310000	82.500000	
dc 	39.620000	40.550000	42.900000	50.300000	61.400000	68.120000	
ep 	38.070000	38.670000	41.280000	48.000000	57.370000	57.890000	
ft 	40.050000	41.500000	45.710000	53.520000	59.300000	84.770000	
is 	38.060000	38.670000	42.440000	50.300000	56.010000	53.330000	
lu 	39.340000	40.640000	44.210000	52.850000	63.800000	70.100000	
mg 	39.570000	41.390000	48.490000	59.140000	78.440000	85.930000	
sp 	39.810000	41.430000	48.430000	57.600000	71.290000	84.970000	
ua 	39.630000	40.040000	44.010000	51.880000	66.140000	71.490000	
stress 	37.990000	39.070000	42.760000	49.550000	59.470000	65.920000	
