	1 	2 	4 	8 	16 	32 	
bt 	43.810000	47.590000	54.410000	65.510000	90.820000	98.090000	
cg 	42.930000	47.450000	65.660000	78.620000	103.690000	107.140000	
dc 	43.780000	48.060000	52.890000	61.800000	80.370000	91.610000	
ep 	42.450000	47.200000	50.680000	59.650000	84.000000	86.830000	
ft 	44.150000	48.920000	59.420000	77.940000	111.630000	124.950000	
is 	40.450000	45.280000	50.960000	57.500000	64.610000	57.890000	
lu 	43.370000	48.280000	55.050000	69.840000	80.350000	104.700000	
mg 	44.360000	50.280000	63.880000	82.610000	92.040000	103.040000	
sp 	44.290000	49.530000	58.030000	74.250000	107.940000	109.620000	
ua 	43.380000	48.080000	53.740000	66.600000	88.540000	97.610000	
stress 	42.670000	47.210000	53.720000	64.540000	91.110000	94.380000	
