	1 	2 	4 	8 	16 	32 	
bt 	60.660000	69.710000	83.450000	107.060000	154.890000	172.700000	
cg 	59.460000	68.860000	70.670000	102.410000	152.860000	159.140000	
dc 	60.790000	69.230000	79.420000	96.540000	135.790000	149.220000	
ep 	59.230000	68.550000	81.190000	104.340000	156.680000	172.880000	
ft 	61.250000	71.960000	78.090000	118.390000	176.610000	191.940000	
is 	57.160000	63.520000	74.590000	73.530000	77.770000	62.700000	
lu 	60.890000	70.870000	84.750000	112.240000	163.100000	177.490000	
mg 	62.130000	72.920000	75.670000	95.430000	106.910000	120.410000	
sp 	61.340000	71.460000	88.870000	116.270000	161.260000	156.800000	
ua 	60.480000	69.570000	81.610000	106.210000	150.860000	163.140000	
stress 	60.190000	70.300000	84.990000	116.750000	162.900000	182.030000	
