	1 	2 	4 	8 	16 	32 	
bt 	41.900000	42.460000	49.420000	59.420000	79.970000	85.750000	
cg 	40.710000	41.640000	61.380000	74.100000	97.070000	99.680000	
dc 	42.050000	43.910000	48.790000	56.820000	75.850000	90.120000	
ep 	39.150000	41.010000	47.490000	55.550000	71.920000	76.060000	
ft 	42.310000	44.770000	53.410000	67.290000	97.880000	113.260000	
is 	39.440000	41.540000	48.070000	52.590000	62.420000	56.910000	
lu 	41.240000	43.680000	50.880000	62.880000	81.190000	92.000000	
mg 	42.550000	47.000000	58.120000	76.870000	87.930000	97.000000	
sp 	42.180000	45.940000	54.620000	69.700000	92.670000	101.040000	
ua 	41.180000	42.890000	50.060000	61.460000	78.980000	87.920000	
stress 	39.550000	41.080000	48.750000	57.460000	77.420000	79.410000	
