num_workers	trial	runtime
1	1	17825.7750082
1	2	18563.800014
1	3	14046.2878828
1	4	3.61865496635
1	5	3.50038313866
1	6	3.47548604012
1	7	3.39564800262
1	8	3.3455350399
1	9	3.35297393799
1	10	3.33952498436
2	1	3.79070496559
2	2	3.78900814056
2	3	3.77300405502
2	4	3.79670810699
2	5	3.71917891502
2	6	3.75638890266
2	7	3.72435283661
2	8	3.76899600029
2	9	3.79429793358
2	10	3.72688984871
3	1	4.129529953
3	2	4.23343110085
3	3	4.05804085732
3	4	4.21732497215
3	5	4.21527600288
3	6	4.25681090355
3	7	4.20062994957
3	8	4.26104402542
3	9	4.19425606728
3	10	4.20348405838
4	1	4.50706791878
4	2	4.55033421516
4	3	4.64504003525
4	4	4.57167601585
4	5	4.67853808403
4	6	4.55709791183
4	7	4.55165910721
4	8	4.54068112373
4	9	4.59756207466
4	10	4.49305701256
5	1	4.9740691185
5	2	4.9937980175
5	3	5.001308918
5	4	4.99204397202
5	5	5.03776311874
5	6	4.97970700264
5	7	5.00217914581
5	8	4.97708010674
5	9	4.94493198395
5	10	5.07853102684
6	1	5.34252405167
6	2	5.32538509369
6	3	5.33439588547
6	4	5.4046459198
6	5	5.38292098045
6	6	5.36788392067
6	7	5.38952994347
6	8	5.31109809875
6	9	5.40023398399
6	10	5.3811788559
7	1	5.6119658947
7	2	5.76608800888
7	3	5.58442401886
7	4	5.77775287628
7	5	5.84906888008
7	6	5.70768094063
7	7	5.67030596733
7	8	5.62616801262
7	9	5.84578108788
7	10	5.7166018486
8	1	6.13454794884
8	2	6.10193896294
8	3	6.05725002289
8	4	6.11368894577
8	5	6.17697715759
8	6	6.15344500542
8	7	6.14527797699
8	8	6.14588403702
8	9	6.19632482529
8	10	6.06221389771
9	1	6.55556201935
9	2	6.26008486748
9	3	6.3977458477
9	4	6.56355595589
9	5	6.23979401588
9	6	6.48118901253
9	7	6.50407910347
9	8	6.40653991699
9	9	6.53310585022
9	10	6.45793199539
10	1	6.95736002922
10	2	6.91884708405
10	3	6.74655604362
10	4	6.8818860054
10	5	6.90287995338
10	6	6.89262008667
10	7	6.87551808357
10	8	6.84571290016
10	9	6.54717898369
10	10	6.67802500725
11	1	6.93108201027
11	2	7.04374098778
11	3	7.28933787346
11	4	7.3274371624
11	5	7.28816103935
11	6	7.20202708244
11	7	7.39218211174
11	8	7.25977087021
11	9	7.3826777935
11	10	7.29474306107
12	1	7.74512314796
12	2	7.72586393356
12	3	7.63676714897
12	4	7.73761677742
12	5	7.76729607582
12	6	7.80833101273
12	7	7.50224494934
12	8	7.54368686676
12	9	7.6690621376
12	10	7.68809604645
13	1	8.07030105591
13	2	7.96272706985
