trial	chips_added_at_a_time	execution_time	edges	levels	diameter	ASPL	power	frequency	tempurature	picked_by	overlap
2	1	383.817834854	5	3	5	2.33333333333	56.7207	3600.0	42.35	temp	0.1
3	1	353.915805101	5	3	5	2.33333333333	56.7207	3600.0	43.2	temp	0.1
4	1	430.606343031	5	5	5	2.33333333333	56.7207	3600.0	41.25	temp	0.1
5	1	425.433525085	5	5	5	2.33333333333	56.7207	3600.0	41.11	temp	0.1
6	1	352.94005394	5	4	5	2.33333333333	56.7207	3600.0	43.54	temp	0.1
7	1	376.075668812	5	4	5	2.33333333333	56.7207	3600.0	41.38	temp	0.1
8	1	324.314306974	5	3	5	2.33333333333	56.7207	3600.0	41.89	temp	0.1
9	1	364.089999914	5	4	5	2.33333333333	56.7207	3600.0	42.41	temp	0.1
10	1	401.698293924	5	5	5	2.33333333333	56.7207	3600.0	41.22	temp	0.1
1	cradle	96.7032780647	5	2	5	2.33333333333	56.7207	3600.0	41.88	temp	0.1
2	cradle	93.7026031017	5	2	5	2.33333333333	56.7207	3600.0	41.88	temp	0.1
3	cradle	102.721076965	5	3	5	2.33333333333	56.7207	3600.0	42.48	temp	0.1
4	cradle	97.9192280769	5	2	5	2.33333333333	56.7207	3600.0	41.88	temp	0.1
5	cradle	100.144432068	5	2	5	2.33333333333	56.7207	3600.0	41.56	temp	0.1
6	cradle	160.611768961	5	2	5	2.33333333333	56.7207	3600.0	41.75	temp	0.1
7	cradle	118.907433987	5	2	5	2.33333333333	56.7207	3600.0	42.18	temp	0.1
8	cradle	163.837533951	5	2	5	2.33333333333	56.7207	3600.0	41.88	temp	0.1
9	cradle	77.9767589569	5	2	5	2.33333333333	56.7207	3600.0	41.56	temp	0.1
10	cradle	98.3164479733	5	3	5	2.33333333333	56.7207	3600.0	43.65	temp	0.1
1	3	390.901957989	8	5	6	2.88888888889	56.7207	3600.0	46.85	temp	0.1
2	3	689.415823936	8	4	6	2.83333333333	41.9991	3200.0	43.74	temp	0.1
3	3	664.578365088	8	4	6	2.66666666667	41.9991	3200.0	43.54	temp	0.1
4	3	446.539770842	8	6	7	3.05555555556	56.7207	3600.0	45.19	temp	0.1
5	3	339.191048145	8	5	7	3.05555555556	56.7207	3600.0	42.46	temp	0.1
6	3	603.33626914	9	3	5	2.33333333333	41.9991	3200.0	43.55	temp	0.1
7	3	730.679681063	8	3	6	2.66666666667	41.9991	3200.0	44.07	temp	0.1
8	3	423.76889205	8	3	5	2.55555555556	41.9991	3200.0	43.74	temp	0.1
9	3	721.014771223	8	3	6	2.77777777778	41.9991	3200.0	43.49	temp	0.1
10	3	786.490340948	9	2	5	2.5	41.9991	3200.0	43.66	temp	0.1
1	2	586.522053003	8	5	8	3.33333333333	56.7207	3600.0	45.59	temp	0.1
2	2	551.729178905	8	6	6	2.88888888889	56.7207	3600.0	45.52	temp	0.1
3	2	597.155004978	8	5	8	3.33333333333	56.7207	3600.0	46.33	temp	0.1
4	2	460.948703051	8	4	8	3.33333333333	56.7207	3600.0	45.64	temp	0.1
5	2	672.282909155	8	6	6	2.88888888889	56.7207	3600.0	45.33	temp	0.1
6	2	462.162081003	8	5	7	3.05555555556	56.7207	3600.0	46.04	temp	0.1
7	2	445.090157986	8	4	7	3.05555555556	56.7207	3600.0	46.61	temp	0.1
8	2	334.287521124	8	3	6	2.83333333333	56.7207	3600.0	47.31	temp	0.1
9	2	669.419610977	9	6	6	2.66666666667	56.7207	3600.0	44.08	temp	0.1
10	2	361.877552986	8	4	7	3.0	56.7207	3600.0	45.44	temp	0.1
1	1	1028.86107397	8	5	8	3.33333333333	56.7207	3600.0	46.1	temp	0.1
2	1	705.197814941	8	5	8	3.33333333333	56.7207	3600.0	46.25	temp	0.1
3	1	1239.52007008	8	6	7	3.16666666667	56.7207	3600.0	43.73	temp	0.1
4	1	896.617949009	8	4	7	3.0	56.7207	3600.0	45.07	temp	0.1
