	1 	2 	4 	8 	16 	32 	
bt 	23.500000	31.350000	32.500000	33.000000	36.880000	39.130000	
cg 	24.260000	32.450000	34.290000	37.480000	42.780000	43.630000	
dc 	23.870000	32.050000	33.370000	36.950000	40.880000	45.760000	
ep 	17.290000	21.210000	22.450000	22.600000	22.290000	29.480000	
ft 	24.110000	31.840000	34.140000	37.410000	41.860000	44.730000	
is 	23.450000	31.710000	32.990000	26.140000	25.460000	22.550000	
lu 	23.710000	32.210000	33.930000	37.080000	40.860000	42.980000	
mg 	25.780000	35.460000	35.070000	42.570000	41.200000	46.800000	
sp 	25.070000	33.910000	37.080000	42.400000	43.470000	49.640000	
ua 	24.720000	31.990000	33.410000	36.200000	39.940000	42.110000	
stress 	17.280000	20.750000	22.080000	21.850000	22.140000	21.880000	
