	1 	2 	4 	8 	16 	32 	
bt 	18.980000	21.270000	22.340000	23.650000	25.740000	27.000000	
cg 	19.190000	22.790000	26.040000	30.730000	37.350000	39.680000	
dc 	20.130000	22.170000	24.040000	27.840000	33.530000	38.570000	
ep 	15.840000	16.470000	16.760000	17.110000	18.000000	20.010000	
ft 	19.510000	22.820000	24.340000	26.120000	26.280000	32.090000	
is 	18.790000	22.000000	23.580000	27.280000	26.220000	25.500000	
lu 	18.650000	22.070000	23.530000	26.100000	29.900000	32.350000	
mg 	20.550000	25.130000	29.000000	35.760000	45.710000	49.560000	
sp 	19.950000	23.970000	26.570000	31.150000	35.710000	43.450000	
ua 	19.470000	21.650000	22.990000	24.790000	28.130000	29.950000	
stress 	15.560000	16.580000	16.710000	17.040000	17.300000	18.950000	
