	1 	2 	4 	8 	16 	17 	32 	34 	64 	68 	128 	136 	256 	272 	
bt 	84.700000	85.960000	88.880000	90.360000	96.070000	96.450000	107.800000	112.900000	116.540000	117.750000	133.130000	131.690000	131.090000	126.140000	
cg 	84.640000	85.420000	87.330000	92.260000	99.880000	100.060000	115.630000	116.180000	129.230000	131.100000	152.140000	138.590000	129.030000	129.760000	
dc 	85.340000	90.660000	87.800000	90.510000	96.540000	97.640000	106.750000	110.910000	123.730000	124.840000	124.860000	123.590000	123.740000	123.750000	
ep 	86.900000	85.000000	85.110000	87.360000	94.270000	90.360000	99.780000	99.460000	172.750000	115.500000	123.510000	128.730000	138.080000	139.140000	
ft 	84.560000	85.130000	87.410000	93.290000	99.410000	99.960000	114.150000	110.470000	219.360000	142.290000	166.930000	138.360000	214.480000	232.520000	
is 	83.340000	83.640000	84.340000	86.720000	89.980000	93.500000	86.740000	88.500000	89.990000	91.890000	87.210000	86.090000	93.850000	93.330000	
lu 	85.800000	86.170000	87.820000	91.180000	108.800000	137.480000	105.070000	122.150000	118.530000	120.480000	134.730000	136.180000	143.460000	124.340000	
mg 	83.660000	85.230000	86.270000	90.930000	99.080000	98.420000	109.620000	114.680000	113.570000	120.140000	135.130000	138.850000	130.630000	134.810000	
sp 	86.680000	85.940000	88.930000	94.820000	102.510000	105.520000	115.730000	118.310000	135.640000	129.010000	151.750000	152.000000	209.960000	137.790000	
ua 	84.610000	84.710000	115.910000	88.370000	92.330000	93.200000	102.380000	103.010000	117.590000	114.920000	138.700000	144.520000	138.180000	130.200000	
stress 	83.210000	83.810000	85.030000	86.950000	92.490000	93.510000	99.720000	101.130000	119.300000	119.900000	135.360000	145.410000	127.180000	138.690000	
