	1 	2 	4 	8 	16 	17 	32 	34 	64 	68 	128 	136 	256 	272 	
bt 	82.940000	82.980000	84.820000	87.590000	90.930000	91.180000	97.900000	102.470000	105.430000	104.790000	114.330000	119.610000	118.070000	115.450000	
cg 	82.130000	82.610000	85.040000	87.780000	93.640000	94.700000	100.770000	103.180000	113.180000	119.430000	130.820000	123.750000	169.150000	115.260000	
dc 	85.280000	84.360000	86.430000	88.580000	93.450000	92.420000	100.460000	103.140000	151.750000	113.550000	113.270000	147.360000	116.410000	116.530000	
ep 	82.350000	82.470000	82.680000	84.760000	87.990000	88.810000	92.750000	93.660000	102.600000	103.560000	116.570000	109.040000	118.660000	120.360000	
ft 	90.630000	83.120000	86.890000	87.520000	93.470000	94.650000	101.810000	105.360000	122.710000	118.380000	125.100000	131.860000	284.300000	289.630000	
is 	80.970000	81.200000	82.220000	83.420000	93.320000	87.700000	86.480000	86.540000	85.130000	85.220000	90.160000	85.770000	90.350000	93.230000	
lu 	82.950000	83.440000	85.930000	89.240000	90.620000	91.510000	98.350000	109.270000	105.920000	107.320000	123.290000	125.450000	111.250000	110.370000	
mg 	81.880000	82.620000	83.650000	86.490000	94.190000	93.300000	107.030000	104.520000	112.790000	110.720000	119.110000	126.380000	117.680000	124.570000	
sp 	83.880000	83.670000	85.840000	89.870000	96.740000	97.140000	105.730000	106.070000	119.050000	118.890000	153.210000	150.690000	241.310000	127.410000	
ua 	82.670000	83.230000	84.410000	85.770000	89.350000	88.970000	94.250000	97.820000	105.120000	107.800000	128.430000	129.300000	114.650000	136.750000	
stress 	80.740000	81.810000	82.530000	84.920000	89.130000	87.850000	94.400000	94.210000	104.600000	105.070000	127.420000	124.480000	113.340000	110.990000	
