	1 	2 	4 	8 	16 	17 	32 	34 	64 	68 	128 	136 	256 	272 	
bt 	90.210000	90.380000	93.140000	97.860000	107.610000	110.770000	127.460000	139.940000	141.420000	151.830000	163.100000	163.790000	173.300000	156.840000	
cg 	90.790000	89.550000	93.030000	99.350000	111.540000	115.250000	133.660000	141.980000	159.290000	155.630000	189.400000	185.660000	194.930000	158.380000	
dc 	90.540000	91.720000	92.670000	96.800000	107.740000	107.910000	123.570000	126.400000	151.170000	147.780000	148.050000	147.360000	149.260000	145.060000	
ep 	89.840000	96.570000	90.070000	94.240000	101.360000	101.920000	115.460000	116.290000	136.250000	137.990000	150.560000	164.290000	180.020000	179.010000	
ft 	90.610000	90.270000	94.180000	100.190000	112.240000	113.400000	137.550000	133.190000	153.350000	153.820000	202.110000	204.120000	363.020000	316.980000	
is 	88.080000	88.220000	88.650000	92.640000	100.500000	103.660000	95.740000	95.590000	97.970000	97.830000	98.250000	104.020000	111.310000	128.530000	
lu 	91.770000	90.470000	94.290000	99.370000	106.650000	110.690000	134.980000	129.180000	149.560000	148.040000	175.090000	171.580000	160.030000	157.550000	
mg 	91.100000	89.120000	91.610000	98.710000	111.410000	111.590000	139.220000	140.300000	154.320000	159.310000	167.570000	187.370000	176.320000	257.960000	
sp 	92.070000	105.520000	95.020000	102.000000	114.680000	120.210000	132.960000	136.100000	157.630000	161.480000	177.930000	198.170000	260.020000	171.630000	
ua 	92.840000	90.630000	91.470000	96.130000	103.070000	104.090000	118.470000	118.630000	140.410000	145.190000	175.570000	190.380000	192.510000	193.460000	
stress 	89.560000	88.370000	89.810000	93.700000	101.430000	102.450000	117.400000	120.440000	145.060000	149.180000	166.420000	169.370000	183.000000	175.460000	
