	1 	2 	4 	8 	16 	17 	32 	34 	64 	68 	128 	136 	256 	272 	
bt 	86.720000	88.910000	90.180000	95.260000	102.730000	104.790000	119.940000	124.910000	135.840000	138.560000	150.400000	155.750000	160.500000	144.880000	
cg 	88.140000	89.140000	90.490000	97.780000	107.460000	107.460000	126.890000	133.720000	149.620000	153.330000	152.860000	172.270000	225.220000	145.310000	
dc 	88.170000	89.110000	90.500000	94.550000	101.790000	104.400000	118.170000	118.890000	135.170000	138.010000	153.340000	138.370000	136.930000	140.790000	
ep 	86.060000	86.170000	88.050000	90.610000	96.180000	98.070000	106.540000	134.810000	125.670000	125.720000	136.510000	140.290000	164.960000	166.460000	
ft 	86.980000	88.480000	91.620000	97.670000	111.130000	110.080000	128.410000	123.860000	148.170000	147.870000	178.790000	164.420000	307.610000	323.820000	
is 	87.550000	86.260000	87.580000	90.820000	99.450000	96.310000	89.090000	89.320000	97.060000	95.640000	91.850000	91.270000	101.400000	122.170000	
lu 	87.930000	89.950000	91.820000	98.280000	102.810000	118.810000	116.110000	120.320000	137.020000	140.090000	162.710000	162.490000	164.730000	145.920000	
mg 	85.910000	87.960000	90.170000	96.510000	107.310000	106.930000	127.260000	128.250000	125.210000	124.190000	142.290000	141.390000	148.520000	159.090000	
sp 	87.720000	89.400000	92.830000	99.680000	109.180000	111.060000	123.520000	131.390000	151.260000	145.790000	166.790000	189.080000	230.730000	158.250000	
ua 	86.730000	87.320000	89.070000	92.620000	100.280000	99.550000	111.830000	115.420000	128.350000	134.120000	155.590000	166.270000	155.470000	145.800000	
stress 	85.790000	86.330000	87.850000	91.770000	100.060000	101.040000	112.760000	114.940000	135.380000	139.570000	152.710000	159.440000	172.370000	174.610000	
