	1 	2 	4 	8 	16 	32 	
bt 	19.090000	22.280000	24.130000	26.080000	30.070000	32.620000	
cg 	19.750000	24.040000	25.950000	33.760000	40.480000	44.380000	
dc 	19.390000	23.240000	25.850000	30.890000	37.890000	43.580000	
ep 	15.950000	16.630000	16.810000	17.110000	16.970000	19.930000	
ft 	19.950000	23.750000	25.770000	30.250000	37.020000	40.730000	
is 	19.310000	22.940000	25.560000	25.730000	24.760000	23.440000	
lu 	19.380000	23.660000	24.970000	30.410000	36.510000	40.080000	
mg 	22.360000	28.470000	32.860000	42.380000	40.960000	46.830000	
sp 	21.410000	26.190000	30.700000	37.760000	46.030000	48.100000	
ua 	20.520000	23.170000	25.350000	29.020000	33.670000	37.430000	
stress 	15.670000	16.630000	16.810000	17.090000	16.770000	18.540000	
