	1 	2 	4 	8 	16 	32 	
bt 	18.940000	21.420000	23.110000	24.180000	28.220000	29.570000	
cg 	19.210000	23.160000	23.450000	32.250000	39.280000	42.100000	
dc 	19.350000	22.520000	24.650000	29.110000	35.470000	41.060000	
ep 	15.790000	16.610000	16.710000	16.860000	17.470000	22.040000	
ft 	19.500000	23.180000	24.650000	27.300000	33.180000	37.300000	
is 	19.050000	22.190000	24.140000	23.370000	25.830000	23.700000	
lu 	18.860000	22.610000	24.790000	27.890000	32.660000	35.870000	
mg 	21.260000	25.850000	32.050000	39.920000	42.610000	47.480000	
sp 	20.550000	25.040000	28.810000	33.950000	37.460000	46.170000	
ua 	19.910000	22.350000	23.900000	26.630000	30.490000	32.650000	
stress 	15.890000	16.610000	16.770000	16.900000	17.230000	19.140000	
