chips_added_at_a_time	execution_time	edges	levels	diameter	ASPL	power	frequency	tempurature	picked_by	overlap	numchips	candidates
3	825.041598701	10.1	3.7	4.8	2.27222222222	53.77638	3520.0	47.639	power	0.2	9	15
3	882.069700396	10.0	3.3	4.65	2.275	52.30422	3480.0	47.9925	power	0.2	9	16
3	920.69755439	10.1666666667	3.3	4.56666666667	2.23888888889	52.30422	3480.0	48.2213333333	power	0.2	9	17
3	929.45908305	10.225	3.3	4.525	2.22916666667	52.30422	3480.0	48.1385	power	0.2	9	18
3	944.076762915	10.28	3.26	4.5	2.21555555556	52.30422	3480.0	48.2144	power	0.2	9	19
2	1001.13923185	10.7	3.2	4.1	2.1	50.83206	3440.0	47.986	power	0.2	9	12
2	1017.10441715	10.5	3.25	4.2	2.14722222222	49.3599	3400.0	47.3645	power	0.2	9	13
2	1093.78001564	10.3666666667	3.3	4.26666666667	2.16296296296	50.34134	3426.66666667	47.5023333333	power	0.2	9	14
2	1143.28271664	10.325	3.25	4.35	2.17638888889	51.2001	3450.0	47.66	power	0.2	9	15
2	1186.95356633	10.34	3.26	4.34	2.17333333333	50.83206	3440.0	47.6184	power	0.2	9	16
1	1162.06695011	10.7	3.2	4.3	2.13333333333	49.3599	3400.0	47.375	power	0.2	9	7
1	1115.12139391	10.55	3.3	4.25	2.13888888889	52.30422	3480.0	47.9015	power	0.2	9	8
1	1236.12170947	10.5333333333	3.2	4.3	2.15370370371	51.32278	3453.33333333	47.7463333333	power	0.2	9	9
1	1331.10984949	10.55	3.2	4.375	2.15416666667	51.93618	3470.0	47.8595	power	0.2	9	10
1	1408.79304811	10.64	3.22	4.36	2.14777777778	51.420924	3456.0	47.689	power	0.2	9	11
cradle	1040.31507325	11.7	3.6	4.3	2.05555555556	56.7207	3600.0	48.728	power	0.2	9	26
cradle	1069.71197802	11.7	3.5	4.25	2.05555555556	55.98462	3580.0	48.574	power	0.2	9	27
cradle	1091.79693259	11.7333333333	3.46666666667	4.23333333333	2.04814814815	56.22998	3586.66666667	48.7593333333	power	0.2	9	28
cradle	1078.87242935	11.6923076923	3.46153846154	4.25641025641	2.06125356125	56.3432230769	3589.74358974	48.6525641026	power	0.2	9	29
cradle	1131.35497054	11.7083333333	3.47916666667	4.25	2.05787037037	56.414	3591.66666667	48.6866666667	power	0.2	9	30
3	280.52021122	6.5	2.8	3.0	1.70666666667	56.7207	3600.0	46.563	power	0.2	6	30
3	279.471524298	6.45	2.8	3.05	1.72	56.7207	3600.0	46.9655	power	0.2	6	31
3	282.871988901	6.33333333333	2.8	3.03333333333	1.73111111111	56.7207	3600.0	46.9926666667	power	0.2	6	32
3	288.42715255	6.325	2.775	3.05	1.735	56.7207	3600.0	47.0405	power	0.2	6	33
3	294.618871045	6.36	2.74	3.04	1.73066666667	56.7207	3600.0	47.0624	power	0.2	6	34
2	265.966757035	6.1	2.7	3.0	1.74	56.7207	3600.0	47.479	power	0.2	6	13
2	267.223752689	6.15	2.75	3.0	1.74	56.7207	3600.0	47.3405	power	0.2	6	14
2	279.138533187	6.2	2.7	3.0	1.73111111111	56.7207	3600.0	47.3923333333	power	0.2	6	15
2	290.554907644	6.15	2.725	3.0	1.73166666666	56.7207	3600.0	47.38775	power	0.2	6	16
2	299.913056822	6.2	2.74	3.0	1.72666666667	56.7207	3600.0	47.418	power	0.2	6	17
1	249.735941029	6.1	2.7	3.0	1.74	56.7207	3600.0	48.017	power	0.2	6	9
1	276.579383528	6.05	2.75	3.0	1.74333333333	56.7207	3600.0	47.8625	power	0.2	6	10
1	292.461224159	6.03333333333	2.8	3.0	1.74	56.7207	3600.0	47.6203333333	power	0.2	6	11
1	305.348979229	6.025	2.75	3.0	1.73833333333	56.7207	3600.0	47.8235	power	0.2	6	12
1	317.025932479	6.02	2.76	3.0	1.73733333333	56.7207	3600.0	47.7158	power	0.2	6	13
cradle	260.954576039	7.0	2.8	3.0	1.66666666667	56.7207	3600.0	45.704	power	0.2	6	39
cradle	267.95551002	7.0	2.9	3.0	1.66666666667	56.7207	3600.0	45.793	power	0.2	6	40
cradle	269.795510586	7.0	2.93333333333	3.0	1.66666666667	56.7207	3600.0	45.7733333333	power	0.2	6	41
cradle	273.361588657	7.0	2.925	3.0	1.66666666667	56.7207	3600.0	45.69325	power	0.2	6	42
cradle	276.689987092	7.0	2.94	3.0	1.66666666667	56.7207	3600.0	45.7606	power	0.2	6	43
3	558.906664324	11.2	2.9	4.0	2.07222222222	56.7207	3600.0	48.477	power	0.1	9	18
3	571.160000455	10.9	3.0	4.0	2.09444444445	55.98462	3580.0	48.0625	power	0.1	9	19
3	577.536266796	10.8	2.96666666667	4.03333333333	2.10555555556	55.73926	3573.33333333	48.09	power	0.1	9	20
3	611.741217422	10.775	3.025	4.075	2.11388888889	55.98462	3580.0	48.2	power	0.1	9	21
3	619.436630359	10.82	3.08	4.06	2.10444444445	56.131836	3584.0	48.1766	power	0.1	9	22
2	730.751758957	11.0	3.1	4.0	2.07777777778	56.7207	3600.0	48.46	power	0.1	9	15
2	743.533983171	11.0	3.05	4.0	2.08333333333	56.7207	3600.0	48.596	power	0.1	9	16
2	728.024830826	11.0666666667	3.03333333333	4.0	2.07407407408	56.7207	3600.0	48.382	power	0.1	9	17
2	741.622861344	11.125	3.1	4.0	2.06805555556	56.7207	3600.0	48.43425	power	0.1	9	18
2	774.733244619	11.06	3.06	4.0	2.07333333334	56.426268	3592.0	48.317	power	0.1	9	19
1	848.117785859	11.2	3.0	4.0	2.05	56.7207	3600.0	48.338	power	0.1	9	10
1	883.534658015	11.05	3.0	4.05	2.06388888889	56.7207	3600.0	48.1835	power	0.1	9	11
1	941.480176171	11.1	3.0	4.03333333333	2.05740740741	56.22998	3586.66666667	48.1613333333	power	0.1	9	12
1	997.940162355	11.075	3.075	4.025	2.05694444445	56.35266	3590.0	48.11325	power	0.1	9	13
1	1017.74418335	11.06	3.08	4.02	2.05666666667	56.426268	3592.0	48.1488	power	0.1	9	14
cradle	860.009179711	12.0	3.3	4.0	2.0	56.7207	3600.0	47.248	power	0.1	9	43
cradle	838.274116206	12.0	3.35	4.0	2.0	56.7207	3600.0	47.1745	power	0.1	9	44
cradle	869.691970952	12.0	3.33333333333	4.0	2.0	56.7207	3600.0	47.444	power	0.1	9	45
cradle	877.014123283	12.0	3.26315789474	4.0	2.0	56.7207	3600.0	47.645	power	0.1	9	46
cradle	891.133643384	12.0	3.3125	4.0	2.0	56.7207	3600.0	47.5179166667	power	0.1	9	47
3	287.373220348	6.4	2.7	3.0	1.72	56.7207	3600.0	44.443	power	0.1	6	36
3	290.727227366	6.45	2.6	3.0	1.71	56.7207	3600.0	44.696	power	0.1	6	37
3	284.233710718	6.4	2.56666666667	3.0	1.71555555556	56.7207	3600.0	44.797	power	0.1	6	38
3	288.536873686	6.425	2.6	3.0	1.715	56.7207	3600.0	44.5615	power	0.1	6	39
3	292.833897552	6.46	2.64	3.0	1.712	56.7207	3600.0	44.4526	power	0.1	6	40
2	273.321154404	6.2	2.5	3.0	1.72666666666	56.7207	3600.0	45.055	power	0.1	6	17
2	285.142166817	6.15	2.5	3.0	1.72666666666	56.7207	3600.0	45.2595	power	0.1	6	18
2	295.460724378	6.1	2.66666666667	3.0	1.73333333333	56.7207	3600.0	45.075	power	0.1	6	19
2	302.711530185	6.2	2.625	3.0	1.725	56.7207	3600.0	44.99825	power	0.1	6	20
2	313.506552091	6.18	2.6	3.0	1.72533333333	56.7207	3600.0	45.0532	power	0.1	6	21
1	237.290809369	6.2	2.7	3.0	1.72	56.7207	3600.0	44.975	power	0.1	6	10
1	244.921581364	6.1	2.65	3.0	1.72666666666	56.7207	3600.0	45.12	power	0.1	6	11
1	258.3077648	6.06666666667	2.63333333333	3.0	1.72888888889	56.7207	3600.0	45.1396666667	power	0.1	6	12
1	273.970408195	6.05	2.625	3.0	1.73	56.7207	3600.0	45.201	power	0.1	6	13
1	280.129619656	6.04	2.6	3.0	1.73066666666	56.7207	3600.0	45.2414	power	0.1	6	14
cradle	232.45637238	7.0	3.0	3.0	1.66666666667	56.7207	3600.0	42.696	power	0.1	6	34
cradle	233.964012575	7.0	2.9	3.0	1.66666666667	56.7207	3600.0	42.817	power	0.1	6	35
cradle	236.017267386	7.0	2.93333333333	3.0	1.66666666667	56.7207	3600.0	42.8986666667	power	0.1	6	36
cradle	238.653601098	7.0	2.95	3.0	1.66666666667	56.7207	3600.0	43.031	power	0.1	6	37
cradle	242.570494657	7.0	2.96	3.0	1.66666666667	56.7207	3600.0	43.1104	power	0.1	6	38
