	1 	2 	4 	8 	16 	32 	
bt 	19.060000	21.360000	22.270000	23.830000	26.380000	27.310000	
cg 	19.250000	22.960000	26.260000	31.760000	37.950000	40.000000	
dc 	20.170000	22.210000	24.160000	28.270000	35.080000	39.110000	
ep 	15.710000	16.660000	16.670000	16.910000	17.320000	20.460000	
ft 	19.570000	23.260000	24.240000	25.950000	30.580000	32.550000	
is 	18.770000	22.090000	23.590000	27.260000	26.670000	24.980000	
lu 	18.750000	22.240000	23.800000	26.340000	30.350000	32.990000	
mg 	20.810000	24.960000	29.980000	36.300000	45.340000	48.890000	
sp 	20.250000	24.130000	27.310000	31.820000	40.130000	45.270000	
ua 	19.580000	21.870000	23.110000	25.150000	28.750000	30.600000	
stress 	15.650000	16.660000	16.730000	16.910000	17.070000	18.320000	
