trial	chips_added_at_a_time	execution_time	edges	levels	diameter	ASPL	power	frequency	tempurature	picked_by	overlap	numchips	candidates	alpha
4	1	325.139950037	5	4	5	2.33333333333	56.7207	3600.0	40.43	temp	0.2	6	34	0
5	1	342.182471037	5	4	5	2.33333333333	56.7207	3600.0	40.29	temp	0.2	6	34	0
6	1	331.709561825	5	5	5	2.33333333333	56.7207	3600.0	40.34	temp	0.2	6	34	0
7	1	316.686243057	5	5	5	2.33333333333	56.7207	3600.0	39.81	temp	0.2	6	34	0
8	1	352.31725812	5	4	5	2.33333333333	56.7207	3600.0	40.38	temp	0.2	6	34	0
9	1	327.581395149	5	5	5	2.33333333333	56.7207	3600.0	39.85	temp	0.2	6	34	0
10	1	340.803769827	5	5	5	2.33333333333	56.7207	3600.0	39.81	temp	0.2	6	34	0
1	1	332.218667984	5	4	5	2.33333333333	56.7207	3600.0	40.38	temp	0.2	6	34	.25
2	1	315.572256088	5	5	5	2.33333333333	56.7207	3600.0	42.27	temp	0.2	6	34	.25
3	1	318.161496162	5	5	5	2.33333333333	56.7207	3600.0	39.81	temp	0.2	6	34	.25
4	1	330.001821995	5	5	5	2.33333333333	56.7207	3600.0	42.27	temp	0.2	6	34	.25
5	1	341.513697147	5	5	5	2.33333333333	56.7207	3600.0	39.72	temp	0.2	6	34	.25
6	1	327.777160883	5	5	5	2.33333333333	56.7207	3600.0	39.96	temp	0.2	6	34	.25
7	1	352.305363178	5	5	5	2.33333333333	56.7207	3600.0	39.72	temp	0.2	6	34	.25
8	1	306.81743598	5	4	5	2.33333333333	56.7207	3600.0	40.29	temp	0.2	6	34	.25
9	1	267.226986885	5	3	5	2.33333333333	56.7207	3600.0	41.13	temp	0.2	6	34	.25
10	1	351.083707094	5	5	5	2.33333333333	56.7207	3600.0	39.85	temp	0.2	6	34	.25
1	1	324.403299809	5	5	5	2.33333333333	56.7207	3600.0	39.96	temp	0.2	6	34	.5
2	1	322.588886023	5	5	5	2.33333333333	56.7207	3600.0	40.48	temp	0.2	6	34	.5
3	1	347.292675018	5	5	5	2.33333333333	56.7207	3600.0	39.81	temp	0.2	6	34	.5
4	1	337.883198977	5	5	5	2.33333333333	56.7207	3600.0	39.96	temp	0.2	6	34	.5
5	1	312.52463603	5	4	5	2.33333333333	56.7207	3600.0	40.29	temp	0.2	6	34	.5
