	1 	2 	4 	8 	16 	32 	
bt 	19.020000	22.320000	24.150000	26.510000	30.380000	33.240000	
cg 	19.750000	24.080000	27.800000	33.670000	33.470000	44.110000	
dc 	19.580000	23.300000	25.950000	30.680000	38.510000	44.160000	
ep 	15.910000	16.570000	16.700000	16.850000	17.010000	22.500000	
ft 	19.980000	23.580000	26.050000	28.660000	35.850000	41.030000	
is 	19.270000	23.010000	25.400000	25.540000	24.490000	23.310000	
lu 	19.230000	23.770000	26.330000	30.500000	36.940000	40.970000	
mg 	22.570000	27.660000	34.460000	42.050000	40.880000	46.590000	
sp 	21.320000	26.600000	30.780000	31.980000	40.930000	48.540000	
ua 	20.670000	23.170000	25.710000	29.450000	34.340000	37.310000	
stress 	15.580000	16.620000	16.730000	16.850000	17.460000	17.530000	
