	1 	2 	4 	8 	16 	32 	
bt 	18.850000	21.340000	22.460000	23.660000	26.990000	28.340000	
cg 	19.160000	22.990000	26.560000	32.090000	38.330000	41.160000	
dc 	20.480000	22.380000	24.330000	28.810000	34.730000	39.980000	
ep 	15.700000	16.520000	16.660000	16.900000	16.910000	20.180000	
ft 	19.620000	23.020000	23.570000	26.850000	28.040000	34.130000	
is 	19.120000	22.180000	23.570000	25.540000	26.740000	24.550000	
lu 	18.660000	22.160000	24.080000	26.940000	31.420000	34.030000	
mg 	20.810000	25.750000	30.800000	37.630000	43.260000	47.880000	
sp 	20.360000	24.310000	27.560000	32.640000	40.360000	45.410000	
ua 	19.660000	22.000000	24.050000	25.650000	29.380000	31.590000	
stress 	16.090000	16.520000	16.710000	16.810000	16.690000	16.740000	
