	1 	2 	4 	8 	16 	32 	
bt 	19.020000	22.190000	23.840000	25.430000	29.600000	32.370000	
cg 	19.620000	23.900000	24.610000	27.950000	40.010000	43.700000	
dc 	19.750000	23.080000	25.470000	30.090000	37.560000	43.130000	
ep 	15.610000	16.550000	16.790000	17.030000	16.930000	21.530000	
ft 	19.700000	23.930000	25.530000	29.580000	36.210000	41.520000	
is 	19.190000	22.770000	25.160000	25.340000	24.900000	22.800000	
lu 	19.180000	23.340000	25.880000	29.870000	35.730000	39.480000	
mg 	22.170000	27.870000	33.760000	41.920000	40.970000	46.940000	
sp 	21.240000	25.870000	30.340000	32.080000	38.300000	47.830000	
ua 	20.320000	22.940000	25.140000	28.490000	33.360000	36.020000	
stress 	15.800000	16.460000	16.640000	16.940000	17.430000	18.280000	
