chips_added_at_a_time	execution_time	edges	levels	diameter	ASPL	power	frequency	tempurature	picked_by	overlap	numchips	candidates
1	5367.76177871	17.5	3.5	5.0	2.45897435898	41.9991	3200.0	49.041	power	0.2	13	14
cradle	3072.99277024	16.4	3.7	5.4	2.57179487179	41.58603	3180.0	48.856	power	0.2	13	14
1	324.162507153	4.0	2.0	2.0	1.6	56.7207	3600.0	47.27	power	0.2	5	28
cradle	186.727505922	4.0	2.0	2.0	1.6	56.7207	3600.0	47.27	power	0.2	5	28
1	4204.37667994	16.9	3.9	5.6	2.53333333334	46.41558	3320.0	47.156	power	0.1	13	14
cradle	2066.46743989	15.6	3.9	6.0	2.71794871795	49.3599	3400.0	47.952	power	0.1	13	14
1	336.636240196	4.0	2.0	2.0	1.6	56.7207	3600.0	44.33	power	0.1	5	28
cradle	194.987466908	4.0	2.0	2.0	1.6	56.7207	3600.0	44.33	power	0.1	5	28
