	1 	2 	4 	8 	16 	32 	
bt 	60.900000	69.830000	84.640000	94.300000	155.320000	173.000000	
cg 	59.510000	68.940000	80.080000	102.780000	151.530000	154.420000	
dc 	60.890000	67.510000	79.020000	98.670000	140.670000	150.060000	
ep 	59.860000	68.540000	81.370000	104.210000	156.690000	162.990000	
ft 	61.270000	71.900000	87.820000	121.470000	179.030000	194.870000	
is 	57.510000	63.590000	74.580000	73.780000	77.520000	62.800000	
lu 	60.370000	70.800000	85.270000	114.000000	163.060000	175.940000	
mg 	61.800000	72.420000	76.220000	97.620000	108.180000	120.730000	
sp 	61.200000	71.990000	88.580000	116.310000	134.950000	157.830000	
ua 	60.780000	69.570000	82.060000	106.830000	150.910000	163.310000	
stress 	59.910000	70.180000	86.140000	115.080000	176.230000	181.520000	
