	1 	2 	4 	8 	16 	32 	
bt 	44.090000	46.540000	50.180000	62.070000	85.810000	92.140000	
cg 	42.660000	45.580000	62.940000	62.690000	79.300000	103.740000	
dc 	42.730000	46.010000	51.010000	58.310000	76.180000	87.040000	
ep 	42.380000	43.300000	49.830000	58.310000	80.120000	82.100000	
ft 	42.810000	47.260000	55.610000	71.560000	103.790000	118.890000	
is 	40.300000	42.030000	48.430000	55.280000	63.640000	57.730000	
lu 	42.720000	46.680000	52.370000	65.370000	85.730000	98.580000	
mg 	42.970000	47.970000	60.410000	82.590000	89.360000	100.150000	
sp 	43.280000	47.120000	56.390000	72.250000	98.120000	105.380000	
ua 	42.930000	45.490000	51.420000	63.780000	83.690000	93.140000	
stress 	40.690000	45.160000	50.660000	59.320000	84.390000	91.380000	
