	1 	2 	4 	8 	16 	32 	
bt 	45.990000	50.710000	60.220000	73.840000	101.530000	114.570000	
cg 	44.930000	50.520000	54.030000	64.780000	116.450000	120.510000	
dc 	45.810000	50.440000	56.900000	68.260000	91.970000	106.530000	
ep 	44.690000	50.100000	56.880000	71.430000	98.470000	111.630000	
ft 	46.430000	52.000000	65.810000	88.720000	129.940000	143.320000	
is 	44.390000	48.520000	55.050000	63.980000	68.720000	61.330000	
lu 	45.920000	51.560000	59.930000	77.840000	107.100000	127.080000	
mg 	46.810000	53.560000	68.300000	91.830000	97.250000	113.550000	
sp 	47.110000	52.810000	63.310000	69.570000	99.220000	121.380000	
ua 	45.790000	51.010000	58.330000	74.120000	101.180000	111.990000	
stress 	45.670000	50.120000	59.800000	75.230000	107.540000	118.580000	
