	1 	2 	4 	8 	16 	32 	
bt 	60.610000	69.760000	84.760000	107.220000	154.390000	173.560000	
cg 	59.530000	68.760000	80.760000	102.980000	150.870000	159.340000	
dc 	60.710000	69.870000	79.180000	97.610000	139.110000	150.660000	
ep 	59.240000	68.510000	81.170000	98.920000	151.970000	163.290000	
ft 	61.360000	71.730000	87.410000	119.360000	178.270000	194.810000	
is 	57.710000	63.600000	74.840000	80.620000	75.870000	62.830000	
lu 	60.500000	70.640000	85.430000	114.690000	144.410000	177.370000	
mg 	61.310000	72.850000	73.300000	95.970000	106.970000	125.680000	
sp 	61.100000	71.560000	88.530000	117.970000	137.730000	157.860000	
ua 	60.960000	69.560000	82.200000	106.080000	151.190000	162.980000	
stress 	60.270000	70.240000	86.250000	116.250000	179.640000	181.200000	
