trial	chips_added_at_a_time	execution_time	edges	levels	diameter	ASPL	power	frequency	temperature	picked_by	overlap	numchips	candidates
9	1	760.042052984	28	3	6	2.90058479532	56.7207	3600.0	74.84	power	0.2	19	14
10	1	757.773119926	27	3	6	2.92397660819	56.7207	3600.0	71.32	power	0.2	19	14
1	1	994.787721157	30	4	6	2.96315789474	56.7207	3600.0	69.22	power	0.2	20	14
2	1	807.422923088	30	3	6	2.96315789474	56.7207	3600.0	74.4	power	0.2	20	14
3	1	1069.27897906	30	4	6	2.96315789474	56.7207	3600.0	71.29	power	0.2	20	14
4	1	1057.92959404	29	4	6	2.98947368421	56.7207	3600.0	67.32	power	0.2	20	14
5	1	902.396420956	29	3	6	2.98947368421	56.7207	3600.0	72.44	power	0.2	20	14
6	1	1256.523458	29	4	6	2.99473684211	56.7207	3600.0	71.09	power	0.2	20	14
7	1	968.010470867	29	4	6	2.99473684211	56.7207	3600.0	71.38	power	0.2	20	14
8	1	1067.32208204	29	4	6	2.98947368421	56.7207	3600.0	69.23	power	0.2	20	14
9	1	829.250359058	29	3	6	2.99473684211	56.7207	3600.0	75.14	power	0.2	20	14
10	1	1047.71034312	30	4	6	2.96315789474	56.7207	3600.0	71.08	power	0.2	20	14
1	1	1242.24968696	31	4	6	3.05714285714	56.7207	3600.0	77.93	power	0.2	21	14
2	1	1075.24560213	31	4	6	3.05714285714	56.7207	3600.0	72.67	power	0.2	21	14
3	1	887.160648108	31	3	6	3.05714285714	56.7207	3600.0	78.16	power	0.2	21	14
4	1	16670.2654219	0	0	0	0	0	0	0	power	0.2	21	14
5	1	853.855509043	31	3	6	3.05714285714	56.7207	3600.0	75.19	power	0.2	21	14
6	1	978.637852907	31	4	6	3.05714285714	56.7207	3600.0	71.93	power	0.2	21	14
7	1	1067.72953892	31	4	6	3.05714285714	56.7207	3600.0	70.31	power	0.2	21	14
8	1	781.820400953	31	3	6	3.05714285714	56.7207	3600.0	76.88	power	0.2	21	14
9	1	943.240170002	31	3	6	3.05714285714	56.7207	3600.0	75.28	power	0.2	21	14
10	1	983.133465052	31	4	6	3.05714285714	56.7207	3600.0	70.25	power	0.2	21	14
1	1	1206.01535416	31	4	6	3.1645021645	56.7207	3600.0	73.37	power	0.2	22	14
2	1	1182.68325281	32	4	6	3.1341991342	56.7207	3600.0	72.82	power	0.2	22	14
3	1	884.625631094	32	3	6	3.1341991342	56.7207	3600.0	80.95	power	0.2	22	14
4	1	1253.26142693	31	4	6	3.18181818182	56.7207	3600.0	72.0	power	0.2	22	14
5	1	8608.03816104	0	0	0	0	0	0	0	power	0.2	22	14
6	1	1134.99012017	33	4	6	3.12121212121	56.7207	3600.0	71.54	power	0.2	22	14
7	1	932.927480221	32	3	7	3.17748917749	56.7207	3600.0	75.98	power	0.2	22	14
8	1	1155.48372293	33	4	6	3.1038961039	56.7207	3600.0	75.85	power	0.2	22	14
9	1	1082.05155921	32	4	6	3.14718614719	56.7207	3600.0	75.46	power	0.2	22	14
10	1	17814.6092441	0	0	0	0	0	0	0	power	0.2	22	14
1	1	975.793215036	34	3	6	3.19367588933	56.7207	3600.0	79.32	power	0.2	23	14
2	1	951.906297922	34	3	6	3.19367588933	56.7207	3600.0	82.19	power	0.2	23	14
3	1	1284.21640992	34	4	6	3.19367588933	56.7207	3600.0	77.46	power	0.2	23	14
4	1	988.896019936	34	3	6	3.19367588933	56.7207	3600.0	75.99	power	0.2	23	14
5	1	3171.39834619	0	0	0	0	0	0	0	power	0.2	23	14
6	1	953.468867064	34	4	6	3.19367588933	56.7207	3600.0	78.19	power	0.2	23	14
7	1	37597.37624	0	0	0	0	0	0	0	power	0.2	23	14
8	1	1117.593889	33	4	7	3.24901185771	56.7207	3600.0	70.67	power	0.2	23	14
9	1	12278.1192808	0	0	0	0	0	0	0	power	0.2	23	14
10	1	1005.69751	34	3	6	3.19367588933	56.7207	3600.0	83.48	power	0.2	23	14
1	1	1371.47163582	36	4	6	3.24637681159	56.7207	3600.0	79.98	power	0.2	24	14
2	1	95743.5403931	0	0	0	0	0	0	0	power	0.2	24	14
3	1	1005.10056996	36	3	6	3.24637681159	56.7207	3600.0	84.74	power	0.2	24	14
