	1 	2 	4 	8 	16 	32 	
bt 	18.930000	22.350000	23.910000	26.470000	30.340000	33.340000	
cg 	19.790000	24.220000	27.920000	33.450000	40.840000	43.130000	
dc 	19.660000	23.380000	25.960000	30.870000	37.480000	44.310000	
ep 	15.600000	16.530000	16.580000	17.060000	17.380000	20.880000	
ft 	19.710000	23.270000	26.070000	28.660000	32.710000	41.800000	
is 	19.250000	23.000000	25.690000	25.180000	24.680000	22.520000	
lu 	19.440000	23.730000	26.450000	31.220000	37.040000	41.000000	
mg 	22.380000	28.730000	33.990000	42.730000	41.080000	46.880000	
sp 	21.350000	26.570000	30.840000	38.250000	46.300000	48.190000	
ua 	20.700000	23.270000	25.580000	29.130000	34.550000	36.960000	
stress 	15.610000	16.460000	16.660000	16.930000	16.830000	16.730000	
