	1 	2 	4 	8 	16 	32 	
bt 	43.500000	47.690000	53.900000	66.210000	90.910000	97.950000	
cg 	42.670000	47.580000	65.560000	78.590000	103.530000	107.110000	
dc 	43.950000	47.370000	52.450000	63.140000	83.000000	97.770000	
ep 	42.460000	47.040000	50.410000	61.140000	84.920000	87.150000	
ft 	44.230000	48.870000	58.770000	78.950000	112.570000	125.420000	
is 	40.710000	44.940000	50.550000	57.340000	65.070000	58.000000	
lu 	43.690000	48.200000	54.850000	69.810000	91.860000	104.530000	
mg 	44.420000	50.280000	63.510000	85.770000	95.470000	102.490000	
sp 	44.360000	49.530000	59.100000	74.560000	107.920000	109.330000	
ua 	43.340000	47.880000	53.840000	66.830000	88.570000	96.300000	
stress 	42.610000	47.250000	53.740000	67.690000	91.820000	102.690000	
