	1 	2 	4 	8 	16 	32 	
bt 	48.210000	53.960000	63.280000	78.760000	110.640000	125.500000	
cg 	47.300000	52.790000	62.540000	87.650000	121.580000	125.640000	
dc 	47.390000	53.020000	59.860000	73.790000	98.120000	114.660000	
ep 	47.040000	51.800000	59.660000	77.870000	104.530000	119.500000	
ft 	48.790000	55.550000	70.170000	94.470000	138.830000	154.190000	
is 	46.010000	50.930000	58.090000	68.970000	71.010000	61.470000	
lu 	48.040000	54.470000	58.410000	81.900000	117.860000	137.300000	
mg 	48.780000	56.500000	70.530000	93.710000	100.550000	113.300000	
sp 	48.630000	55.310000	67.260000	90.840000	129.490000	126.960000	
ua 	47.730000	53.340000	61.750000	78.340000	107.760000	119.240000	
stress 	47.220000	53.490000	62.440000	80.040000	121.400000	130.990000	
