	1 	2 	4 	8 	16 	32 	
bt 	45.880000	51.090000	59.880000	75.270000	83.020000	115.260000	
cg 	45.060000	50.530000	70.210000	85.430000	116.440000	118.840000	
dc 	45.280000	50.260000	58.570000	69.370000	97.380000	105.720000	
ep 	44.680000	50.210000	56.690000	71.780000	92.720000	105.630000	
ft 	46.390000	52.300000	64.820000	86.490000	129.970000	143.410000	
is 	44.400000	48.560000	55.070000	62.750000	68.810000	60.180000	
lu 	45.660000	51.790000	59.930000	77.110000	107.150000	126.680000	
mg 	47.150000	53.740000	68.620000	91.050000	96.930000	116.170000	
sp 	46.910000	53.180000	62.950000	84.160000	96.600000	121.570000	
ua 	45.910000	51.150000	58.440000	74.280000	100.930000	112.300000	
stress 	45.660000	50.350000	59.750000	76.670000	107.680000	113.250000	
