trial	chips_added_at_a_time	execution_time	edges	levels	diameter	ASPL	power	frequency	tempurature	picked_by	overlap	numchips	candidates	alpha
6	2	389.777660847	9	3	6	2.55555555556	56.7207	3600.0	49.5	network	0.2	9	14	0
7	2	443.843507767	10	3	6	2.55555555556	56.7207	3600.0	46.97	network	0.2	9	14	0
8	2	344.430891037	8	4	7	3.0	56.7207	3600.0	46.12	network	0.2	9	14	0
9	2	377.126883984	8	5	8	3.33333333333	56.7207	3600.0	44.12	network	0.2	9	14	0
10	2	622.807139874	9	2	5	2.33333333333	41.9991	3200.0	48.05	network	0.2	9	14	0
1	2	647.857059002	8	4	6	2.83333333333	56.7207	3600.0	49.1	network	0.2	9	14	.25
2	2	404.05337882	9	4	6	2.72222222222	56.7207	3600.0	49.13	network	0.2	9	14	.25
3	2	635.608286858	8	3	7	3.05555555556	56.7207	3600.0	49.8	network	0.2	9	14	.25
4	2	581.39507103	8	3	7	3.0	56.7207	3600.0	48.27	network	0.2	9	14	.25
5	2	607.734383106	9	3	5	2.38888888889	41.9991	3200.0	45.7	network	0.2	9	14	.25
6	2	554.836347103	9	4	5	2.38888888889	41.9991	3200.0	44.66	network	0.2	9	14	.25
7	2	511.221770048	9	3	6	2.61111111111	41.9991	3200.0	45.11	network	0.2	9	14	.25
8	2	387.286427975	9	5	6	2.66666666667	56.7207	3600.0	48.57	network	0.2	9	14	.25
9	2	791.618476868	9	4	5	2.33333333333	41.9991	3200.0	43.91	network	0.2	9	14	.25
10	2	625.703090906	8	3	7	3.0	56.7207	3600.0	47.53	network	0.2	9	14	.25
1	2	803.548883915	10	3	5	2.27777777778	41.9991	3200.0	47.47	network	0.2	9	14	.5
2	2	509.893373966	10	2	5	2.27777777778	41.9991	3200.0	46.59	network	0.2	9	14	.5
3	2	571.239806175	8	5	6	2.72222222222	56.7207	3600.0	47.92	network	0.2	9	14	.5
4	2	443.386348963	9	2	5	2.38888888889	41.9991	3200.0	45.77	network	0.2	9	14	.5
5	2	672.557109118	9	3	5	2.33333333333	41.9991	3200.0	46.85	network	0.2	9	14	.5
6	2	709.539937019	8	4	5	2.61111111111	41.9991	3200.0	45.95	network	0.2	9	14	.5
7	2	509.562461853	9	3	6	2.55555555556	56.7207	3600.0	49.0	network	0.2	9	14	.5
8	2	421.256984949	8	3	5	2.55555555556	56.7207	3600.0	48.39	network	0.2	9	14	.5
9	2	486.434956789	9	4	5	2.61111111111	56.7207	3600.0	49.35	network	0.2	9	14	.5
10	2	738.301064968	9	3	5	2.5	41.9991	3200.0	44.58	network	0.2	9	14	.5
1	2	478.405180931	9	3	6	2.83333333333	56.7207	3600.0	48.23	network	0.2	9	14	.75
2	2	562.780656815	8	3	6	2.83333333333	56.7207	3600.0	47.22	network	0.2	9	14	.75
3	2	427.480829	10	3	6	2.55555555556	56.7207	3600.0	46.62	network	0.2	9	14	.75
4	2	480.584788084	9	3	6	2.66666666667	41.9991	3200.0	44.35	network	0.2	9	14	.75
5	2	302.306827784	10	4	4	2.16666666667	56.7207	3600.0	47.71	network	0.2	9	14	.75
6	2	817.284649849	10	2	4	2.22222222222	41.9991	3200.0	47.0	network	0.2	9	14	.75
7	2	730.493810177	10	3	6	2.55555555556	41.9991	3200.0	44.55	network	0.2	9	14	.75
